id,name,map_name_full,year,glottocode,note
1,Abui,Map3,2020,abui1241,
2,Kiraman,Map3,2020,kira1248,
3,Blagar,Map3,2020,blag1240,
4,Bukalabang,Map3,2020,blag1240,
5,Di'ang,Map3,2020,,
6,Hamap,Map3,2020,hama1240,
7,Kabola,Map3,2020,kabo1247,
8,Kaera,Map3,2020,kaer1234,
9,Kafoa,Map3,2020,kafo1240,
10,Kamang,Map3,2020,kama1365,
11,Adang,Map3,2020,adan1251,
12,Klon,Map3,2020,kelo1247,
13,Kui,Map3,2020,kuii1254,
14,Kula,Map3,2020,kula1280,
15,Manet,Map3,2020,mane1265,
16,Moo,Map3,2020,,
17,Nedebang,Map3,2020,nede1245,
18,Papuna,Map3,2020,papu1257,
19,Reta,Map3,2020,rett1240,
20,Sar,Map3,2020,sarr1247,
21,Sawila,Map3,2020,sawi1256,
22,Suboo,Map3,2020,sibo1242,
23,Teiwa,Map3,2020,teiw1235,
24,Tiee,Map3,2020,tiay1238,
25,Wersing,Map3,2020,wers1238,
26,Western Pantar,Map3,2020,lamm1241,
